IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
NUE,EDDN,Nuremberg Airport,Nuremberg,Bavaria,"Nuremberg, Germany",UTC+01:00,1,1,International,Flughafen Nürnberg GmbH,Flughafen Nürnberg GmbH,https://www.airport-nuernberg.de/,1955
NUM,HLGN,Nejjo Airport,Nejjo,Oromia,"Nejjo, Ethiopia",UTC+03:00,1,1,Domestic,Ethiopian Airports Enterprise,Ethiopian Airports Enterprise,,1970
NWI,EGSH,Norwich International Airport,Norwich,England,"Hellesdon, Norwich, England",UTC+00:00,1,1,International,Regional & City Airports,Regional & City Airports,https://www.norwichairport.co.uk/,1940
OAK,KOAK,Oakland International Airport,Oakland,California,"Oakland, California, USA",UTC-08:00,4,2,International,Port of Oakland,Port of Oakland,https://www.oaklandairport.com/,1927
ODE,EKOD,Odense Airport,Odense,South Denmark,"Beldringe, Odense, Denmark",UTC+01:00,2,1,Domestic,Odense Lufthavn A/S,Odense Lufthavn A/S,https://www.odense-lufthavn.dk/,1943
OHD,LKOH,Ohrid St. Paul the Apostle Airport,Ohrid,Ohrid Municipality,"Ohrid, North Macedonia",UTC+01:00,1,1,International,TAV Airports,TAV Airports,https://www.ohd.airports.mk/,1952
OLB,LIEO,Olbia Costa Smeralda Airport,Olbia,Sardinia,"Olbia, Italy",UTC+01:00,1,1,International,Geasar S.p.A.,Geasar S.p.A.,https://www.geasar.it/,1974
OMO,LQMO,Mostar International Airport,Mostar,Herzegovina-Neretva Canton,"Ortiješ, Mostar, Bosnia and Herzegovina",UTC+01:00,1,1,International,Mostar Airport Authority,Mostar Airport Authority,https://www.mostar-airport.ba/,1965
OMR,LROD,Oradea International Airport,Oradea,Bihor County,"Oradea, Romania",UTC+02:00,1,1,International,Oradea International Airport,Oradea International Airport,https://www.aeroportoradea.ro/,1938
OPO,LPPR,Francisco Sá Carneiro Airport,Porto,Porto,"Maia, Porto, Portugal",UTC+00:00,1,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportoporto.pt/,1945
ORB,ESOE,Örebro Airport,Örebro,Örebro County,"Örebro, Sweden",UTC+01:00,1,1,International,Örebro Läns Flygplats AB,Örebro Läns Flygplats AB,https://www.orebroairport.se/,1979
ORD,KORD,Chicago O'Hare International Airport,Chicago,Illinois,"Chicago, Illinois, USA",UTC-06:00,7,4,International,City of Chicago,Chicago Department of Aviation,https://www.flychicago.com/,1944
ORK,EICK,Cork Airport,Cork,County Cork,"Cork, Ireland",UTC+00:00,1,1,International,daa,daa,https://www.corkairport.com/,1961
ORY,LFPO,Paris Orly Airport,Paris,Île-de-France,"Orly, Paris, France",UTC+01:00,4,4,International,Groupe ADP,Groupe ADP,https://www.parisaeroport.fr/,1932
OSI,LDOS,Osijek Airport,Osijek,Osijek-Baranja County,"Klisa, Osijek, Croatia",UTC+01:00,1,1,International,Osijek Airport Ltd.,Osijek Airport Ltd.,https://www.osijek-airport.hr/,1970
OSL,ENGM,Oslo Airport, Gardermoen,Oslo,"Gardermoen, Ullensaker, Norway",UTC+01:00,2,1,International,Avinor,Avinor,https://www.avinor.no/,1998
OSR,LKMT,Ostrava Leoš Janáček Airport,Ostrava,Moravian-Silesian,"Mošnov, Ostrava, Czech Republic",UTC+01:00,1,1,International,Ostrava Airport a.s.,Ostrava Airport a.s.,https://www.airport-ostrava.cz/,1959
OST,EBAH,Ostend–Bruges International Airport,Ostend,West Flanders,"Ostend, Belgium",UTC+01:00,1,1,International,EGIS,EGIS,https://www.ostendbruges-airport.com/,1914
OTP,LROP,Henri Coandă International Airport,Bucharest,Ilfov County,"Otopeni, Bucharest, Romania",UTC+02:00,2,2,International,Compania Națională Aeroporturi București,Compania Națională Aeroporturi București,https://www.bucharestairports.ro/,1968
OVD,LEAS,Asturias Airport,Oviedo,Asturias,"Castrillón, Asturias, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1968
OXF,EGTK,Oxford Airport,Oxford,England,"Kidlington, Oxfordshire, England",UTC+00:00,3,1,International,Oxford Aviation Services,Oxford Aviation Services,https://www.oxfordairport.co.uk/,1935
OZZ,GMMZ,Ouarzazate Airport,Ouarzazate,Drâa-Tafilalet,"Ouarzazate, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1958
PAD,EDLP,Paderborn Lippstadt Airport,Paderborn,North Rhine-Westphalia,"Büren;#39;s Aerodrome, Paderborn, Germany",UTC+01:00,1,1,International,Flughafen Paderborn/Lippstadt GmbH,Flughafen Paderborn/Lippstadt GmbH,https://www.airport-pad.com/,1971
PBI,KPBI,Palm Beach International Airport,West Palm Beach,Florida,"West Palm Beach, Florida, USA",UTC-05:00,3,3,International,Palm Beach County,Palm Beach County Department of Airports,https://www.pbia.org/,1936
PBM,SMJP,Johan Adolf Pengel International Airport,Paramaribo,Paramaribo District,"Zanderij, Paramaribo, Suriname",UTC-03:00,1,1,International,Airport Management Ltd.,Airport Management Ltd.,https://www.jap-airport.sr/,1943
PDL,LPPD,João Paulo II Airport,Ponta Delgada,Azores,"Ponta Delgada, São Miguel, Azores, Portugal",UTC-01:00,1,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportopontadelgada.pt/,1969
PDV,LBPD,Plovdiv Airport,Plovdiv,Plovdiv Province,"Krumovo, Plovdiv, Bulgaria",UTC+02:00,1,1,International,Plovdiv Airport Ltd.,Plovdiv Airport Ltd.,https://www.plovdivairport.com/,1981
PDX,KPDX,Portland International Airport,Portland,Oregon,"Portland, Oregon, USA",UTC-08:00,2,1,International,Port of Portland,Port of Portland,https://www.flypdx.com/,1940
PED,LKPD,Pardubice Airport,Pardubice,Pardubice Region,"Pardubice, Czech Republic",UTC+01:00,1,1,International,East Bohemian Airports a.s.,East Bohemian Airports a.s.,https://www.airport-pardubice.cz/,1950
PEG,LIRZ,Perugia San Francesco d'Assisi Airport,Perugia,Umbria,"Perugia, Italy",UTC+01:00,1,1,International,ENAC,ENAC,https://www.airport.umbria.it/,1970
PEK,ZBAA,Beijing Capital International Airport,Beijing,Beijing,"Chaoyang, Beijing, China",UTC+08:00,3,3,International,Beijing Capital International Airport Co.,Beijing Capital International Airport Co.,https://www.bcia.com.cn/,1958
PER,YPPH,Perth Airport,Perth,Western Australia,"Perth Airport, Western Australia, Australia",UTC+08:00,3,4,International,Perth Airport Pty Ltd.,Perth Airport Pty Ltd.,https://www.perthairport.com.au/,1944
PFO,LCPH,Paphos International Airport,Paphos,Paphos District,"Paphos, Cyprus",UTC+02:00,1,1,International,Hermes Airports,Hermes Airports,https://www.hermesairports.com/,1983
PGF,LFMP,Perpignan–Rivesaltes Airport,Perpignan,Occitanie,"Perpignan, France",UTC+01:00,1,1,International,CCI de Perpignan,CCI de Perpignan,https://www.aeroport-perpignan.com/,1924
PHL,KPHL,Philadelphia International Airport,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania, USA",UTC-05:00,4,7,International,City of Philadelphia,Philadelphia Division of Aviation,https://www.phl.org/,1940
PHX,KPHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,"Phoenix, Arizona, USA",UTC-07:00,3,2,International,City of Phoenix,Phoenix Aviation Department,https://www.skyharbor.com/,1935
PIK,EGPK,Glasgow Prestwick Airport,Glasgow,Scotland,"Prestwick, South Ayrshire, Scotland",UTC+00:00,2,1,International,Scottish Government,Prestwick Airport Ltd.,https://www.glasgowprestwick.com/,1934
PIS,LFBI,Poitiers–Biard Airport,Poitiers,Nouvelle-Aquitaine,"Biard, Poitiers, France",UTC+01:00,1,1,International,CCI de la Vienne,CCI de la Vienne,https://www.poitiers.aeroport.fr/,1938
PIT,KPIT,Pittsburgh International Airport,Pittsburgh,Pennsylvania,"Moon Township, Pennsylvania, USA",UTC-05:00,4,2,International,Allegheny County Airport Authority,Allegheny County Airport Authority,https://www.flypittsburgh.com/,1952
PJA,ESSP,Kallax Airport,Luleå,Norrbotten,"Luleå, Sweden",UTC+01:00,1,1,International,Swedavia,Swedavia,https://www.swedavia.com/,1944
PKX,ZBAD,Beijing Daxing International Airport,Beijing,Beijing,"Daxing, Beijing, China",UTC+08:00,4,1,International,Beijing Daxing International Airport Co.,Beijing Daxing International Airport Co.,https://www.daxing-pkx-airport.com/,2019
PLQ,EYPA,Palanga International Airport,Palanga,Klaipėda County,"Palanga, Lithuania",UTC+02:00,1,1,International,Lithuanian Airports,Lithuanian Airports,https://www.palanga-airport.lt/,1937
PLS,MBPV,Providenciales International Airport,Providenciales,Turks and Caicos,"Providenciales, Turks and Caicos Islands",UTC-05:00,1,1,International,Turks and Caicos Airports Authority,Turks and Caicos Airports Authority,https://www.provoairport.com/,1970
PMF,LIPU,Parma Airport,Parma,Emilia-Romagna,"Parma, Italy",UTC+01:00,1,1,International,SO.GE.A.P. S.p.A.,SO.GE.A.P. S.p.A.,https://www.parma-airport.it/,1991
PMI,LEPA,Palma de Mallorca Airport,Palma,Balearic Islands,"Palma, Mallorca, Spain",UTC+01:00,2,4,International,AENA,AENA,https://www.aena.es/,1960
PMO,LICJ,Falcone Borsellino Airport,Palermo,Sicily,"Punta Raisi, Palermo, Italy",UTC+01:00,1,1,International,GESAP S.p.A.,GESAP S.p.A.,https://www.aeroportodipalermo.it/,1960
PNA,LEPP,Pamplona Airport,Pamplona,Navarre,"Noáin, Pamplona, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1972
POS,TTPP,Piarco International Airport,Port of Spain,Tunapuna-Piarco,"Piarco, Trinidad and Tobago",UTC-04:00,1,1,International,Airports Authority of Trinidad and Tobago,Airports Authority of Trinidad and Tobago,https://www.tntairports.com/,1931
POZ,EPPO,Poznań–Ławica Airport,Poznań,Greater Poland,"Ławica, Poznań, Poland",UTC+01:00,1,1,International,Poznań–Ławica Airport Ltd.,Poznań–Ławica Airport Ltd.,https://www.poznanairport.pl/,1919
PRG,LKPR,Václav Havel Airport Prague,Prague,Prague,"Ruzyně, Prague, Czech Republic",UTC+01:00,3,2,International,Letiště Praha,Letiště Praha,https://www.prg.aero/,1937
PRN,LKPR,Pristina International Airport,Pristina,Pristina,"Slatina, Pristina, Kosovo",UTC+01:00,1,1,International,Limak Kosovo,Limak Kosovo,https://www.airportpristina.com/,1965
PSA,LIRP,Pisa International Airport,Pisa,Tuscany,"Pisa, Italy",UTC+01:00,1,1,International,Toscana Aeroporti,Toscana Aeroporti,https://www.pisa-airport.com/,1916
PSM,KPSM,Portsmouth International Airport at Pease,Portsmouth,New Hampshire,"Portsmouth, New Hampshire, USA",UTC-05:00,1,1,International,Pease Development Authority,Pease Development Authority,https://www.flyportsmouthnh.com/,1953
PSR,LISP,Abruzzo Airport,Pescara,Abruzzo,"Pescara, Italy",UTC+01:00,1,1,International,SAGA S.p.A.,SAGA S.p.A.,https://www.abruzzoairport.com/,1927
PUF,LFBP,Pau Pyrénées Airport,Pau,Nouvelle-Aquitaine,"Uzein, Pau, France",UTC+01:00,2,1,International,CCI de Pau Béarn,CCI de Pau Béarn,https://www.pau.aeroport.fr/,1930
PUJ,MDPC,Punta Cana International Airport,Punta Cana,La Altagracia,"Punta Cana, Dominican Republic",UTC-04:00,2,2,International,Grupo Punta Cana,Grupo Punta Cana,https://www.puntacanainternationalairport.com/,1984
PUY,LDDU,Pula Airport,Pula,Istria,"Pula, Croatia",UTC+01:00,1,1,International,Pula Airport Ltd.,Pula Airport Ltd.,https://www.airport-pula.hr/,1967
PVD,KPVD,T. F. Green Airport,Providence,Rhode Island,"Warwick, Rhode Island, USA",UTC-05:00,2,1,International,Rhode Island Airport Corporation,Rhode Island Airport Corporation,https://www.pvdairport.com/,1931
PVG,ZSPD,Shanghai Pudong International Airport,Shanghai,Shanghai,"Pudong, Shanghai, China",UTC+08:00,4,2,International,Shanghai Airport Authority,Shanghai Airport Authority,https://www.shairport.com/,1999
PVK,LGPZ,Aktion National Airport,Preveza,Epirus,"Aktion, Preveza, Greece",UTC+02:00,1,1,International,Hellenic Civil Aviation Authority,Hellenic Civil Aviation Authority,https://www.pvk-airport.gr/,1968
PVR,MMVR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Jalisco,"Puerto Vallarta, Jalisco, Mexico",UTC-06:00,1,2,International,Grupo Aeroportuario del Pacífico,Grupo Aeroportuario del Pacífico,https://www.aeropuertosgap.com.mx/,1970
PXO,LPPX,Porto Santo Airport,Porto Santo,Madeira,"Porto Santo, Madeira, Portugal",UTC+00:00,1,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportoportosanto.pt/,1960
PZU,SDPN,Port Sudan New International Airport,Port Sudan,Red Sea State,"Port Sudan, Sudan",UTC+02:00,1,1,International,Sudan Airports Company,Sudan Airports Company,https://www.portsudan-airport.com/,1992
QLA,EGHL,Lasham Airfield,Lasham,England,"Lasham, Hampshire, England",UTC+00:00,2,1,Domestic,Lasham Gliding Society,Lasham Gliding Society,https://www.lashamgliding.com/,1942
QSR,LIPS,Salerno Costa d'Amalfi Airport,Salerno,Campania,"Pontecagnano, Salerno, Italy",UTC+01:00,1,1,International,Aeroporto di Salerno S.p.A.,Aeroporto di Salerno S.p.A.,https://www.aeroportosalerno.it/,2007
RAI,GVNP,Praia International Airport,Praia,Santiago,"Praia, Cape Verde",UTC-01:00,1,1,International,ASA (Aeroportos e Segurança Aérea),ASA,https://www.asa.cv/,1961
RAK,GMMX,Marrakesh Menara Airport,Marrakesh,Marrakesh-Safi,"Marrakesh, Morocco",UTC+01:00,1,2,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1950
RBA,GMMR,Sale Airport,Rabat,Rabat-Salé-Kénitra,"Rabat, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1920
RDU,KRDU,Raleigh-Durham International Airport,Raleigh,North Carolina,"Morrisville, North Carolina, USA",UTC-05:00,3,2,International,Raleigh-Durham Airport Authority,Raleigh-Durham Airport Authority,https://www.rdu.com/,1943
RDZ,LFMV,Rodez–Aveyron Airport,Rodez,Occitanie,"Marcillac, Rodez, France",UTC+01:00,1,1,International,CCI de Rodez,CCI de Rodez,https://www.aeroport-rodez.fr/,1971
REG,LICR,Reggio Calabria Airport,Reggio Calabria,Calabria,"Reggio Calabria, Italy",UTC+01:00,1,1,International,SACAL S.p.A.,SACAL S.p.A.,https://www.aeroportodellostretto.it/,1939
REU,LERS,Reus Airport,Reus,Catalonia,"Reus, Tarragona, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1935
RGS,LERG,Burgos Airport,Burgos,Castile and León,"Burgos, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,2008
RHO,LGRP,Diagoras International Airport,Rhodes,South Aegean,"Paradeisi, Rhodes, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.rho-airport.gr/,1977
RIX,EVRA,Riga International Airport,Riga,Mārupe Municipality,"Mārupe, Riga, Latvia",UTC+02:00,1,1,International,Riga International Airport,Riga International Airport,https://www.riga-airport.com/,1974
RJK,LDRJ,Rijeka Airport,Rijeka,Primorje-Gorski Kotar,"Omišalj, Rijeka, Croatia",UTC+01:00,1,1,International,Rijeka Airport Ltd.,Rijeka Airport Ltd.,https://www.rijeka-airport.hr/,1970
RKE,EKRK,Roskilde Airport,Copenhagen,Zealand,"Roskilde, Copenhagen, Denmark",UTC+01:00,3,1,Domestic,Copenhagen Airports A/S,Copenhagen Airports A/S,https://www.rke.dk/,1973
RKT,OMRK,Ras Al Khaimah International Airport,Ras Al Khaimah,Ras Al Khaimah,"Ras Al Khaimah, UAE",UTC+04:00,1,1,International,Ras Al Khaimah Department of Civil Aviation,Ras Al Khaimah Department of Civil Aviation,https://www.rakairport.com/,1976
RLG,EDTL,Laage Airport,Rostock,Mecklenburg-Vorpommern,"Laage, Rostock, Germany",UTC+01:00,1,1,International,Flughafen Rostock-Laage-Güstrow GmbH,Flughafen Rostock-Laage-Güstrow GmbH,https://www.rostock-airport.de/,1992
RMF,HEMA,Marsa Alam International Airport,Marsa Alam,Red Sea Governorate,"Marsa Alam, Egypt",UTC+02:00,1,1,International,EMAK Marsa Alam for Management,EMAK Marsa Alam for Management,https://www.marsa-alam-airport.com/,2001
RMI,LIPR,Federico Fellini International Airport,Rimini,Emilia-Romagna,"Miramare, Rimini, Italy",UTC+01:00,1,1,International,Airiminum 2014 S.p.A.,Airiminum 2014 S.p.A.,https://www.riminiairport.com/,1929
RMO,LUKK,Chișinău International Airport,Chișinău,Chișinău,"Chișinău, Moldova",UTC+02:00,1,1,International,Chișinău International Airport,Chișinău International Airport,https://www.airport.md/,1970
RMU,LEMU,Región de Murcia International Airport,Murcia,Murcia,"Corvera, Murcia, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,2019
RNS,LFRN,Rennes–Saint-Jacques Airport,Rennes,Brittany,"Saint-Jacques-de-la-Lande, Rennes, France",UTC+01:00,2,1,International,CCI de Rennes,CCI de Rennes,https://www.rennes.aeroport.fr/,1922
RTM,EHRD,Rotterdam The Hague Airport,Rotterdam,South Holland,"Rotterdam, Netherlands",UTC+01:00,1,1,International,Schiphol Group,Schiphol Group,https://www.rotterdamthehagueairport.nl/,1956
RUH,OERK,King Khalid International Airport,Riyadh,Riyadh Province,"Riyadh, Saudi Arabia",UTC+03:00,4,4,International,Riyadh Airports Company,Riyadh Airports Company,https://www.kingkhalidairport.com/,1983
RVN,EFRO,Rovaniemi Airport,Rovaniemi,Lapland,"Rovaniemi, Finland",UTC+02:00,1,1,International,Finavia,Finavia,https://www.finavia.fi/,1940
RZE,EPRZ,Rzeszów–Jasionka Airport,Rzeszów,Subcarpathian,"Jasionka, Rzeszów, Poland",UTC+01:00,1,1,International,Port Lotniczy Rzeszów-Jasionka Sp. z o.o.,Port Lotniczy Rzeszów-Jasionka Sp. z o.o.,https://www.rzeszowairport.pl/,1945
SAN,KSAN,San Diego International Airport,San Diego,California,"San Diego, California, USA",UTC-08:00,1,2,International,San Diego County Regional Airport Authority,San Diego County Regional Airport Authority,https://www.san.org/,1928
SBZ,LRSB,Sibiu International Airport,Sibiu,Sibiu County,"Sibiu, Romania",UTC+02:00,1,1,International,Sibiu County Council,Sibiu International Airport,https://www.sibiuairport.ro/,1943
SCL,SCEL,Arturo Merino Benítez International Airport,Santiago,Metropolitan Region,"Pudahuel, Santiago, Chile",UTC-04:00,2,2,International,Nuevo Pudahuel,Nuevo Pudahuel,https://www.nuevopudahuel.cl/,1967
SCQ,LEST,Santiago–Rosalía de Castro Airport,Santiago de Compostela,Galicia,"Santiago de Compostela, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1932
SCR,ESNS,Skellefteå Airport,Skellefteå,Västerbotten,"Skellefteå, Sweden",UTC+01:00,1,1,International,Skellefteå Airport AB,Skellefteå Airport AB,https://www.skellefteaairport.se/,1961
SCV,LRSC,Suceava Ștefan cel Mare Airport,Suceava,Suceava County,"Salcea, Suceava, Romania",UTC+02:00,1,1,International,Suceava County Council,Suceava International Airport,https://www.aeroportsuceava.ro/,1962
SDR,LEXJ,Santander Airport,Santander,Cantabria,"Santander, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1953
SEA,KSEA,Seattle–Tacoma International Airport,Seattle,Washington,"SeaTac, Washington, USA",UTC-08:00,4,1,International,Port of Seattle,Port of Seattle,https://www.portseattle.org/,1944
SEN,EGMC,London Southend Airport,Southend-on-Sea,England,"Southend-on-Sea, Essex, England",UTC+00:00,1,1,International,Esken,Esken,https://www.southendairport.com/,1914
SFJ,BGSF,Kangerlussuaq Airport,Kangerlussuaq,Qeqqata,"Kangerlussuaq, Greenland",UTC-03:00,1,1,International,Greenland Airports Authority,Greenland Airports Authority,https://www.mit.gl/,1941
SFO,KSFO,San Francisco International Airport,San Francisco,California,"San Mateo County, California, USA",UTC-08:00,4,4,International,City and County of San Francisco,San Francisco Airport Commission,https://www.flysfo.com/,1927
SGD,EKSB,Sønderborg Airport,Sønderborg,South Denmark,"Sønderborg, Denmark",UTC+01:00,2,1,International,Sønderborg Municipality,Sønderborg Airport,https://www.sonderborg-lufthavn.dk/,1968
SGN,VVTS,Tân Sơn Nhất International Airport,Ho Chi Minh City,Ho Chi Minh City,"Tân Bình, Ho Chi Minh City, Vietnam",UTC+07:00,2,2,International,Vietnam Airports Corporation,Vietnam Airports Corporation,https://www.vietnamairport.vn/,1930
SHJ,OMSJ,Sharjah International Airport,Sharjah,Sharjah Emirate,"Sharjah, UAE",UTC+04:00,1,1,International,Sharjah Department of Civil Aviation,Sharjah Airport Authority,https://www.sharjahairport.ae/,1977
SID,GVAC,Amílcar Cabral International Airport,Sal,Sal,"Espargos, Sal, Cape Verde",UTC-01:00,1,1,International,ASA (Aeroportos e Segurança Aérea),ASA,https://www.asa.cv/,1939
SIN,WSSS,Singapore Changi Airport,Singapore,Singapore,"Changi, Singapore",UTC+08:00,3,4,International,Changi Airport Group,Changi Airport Group,https://www.changiairport.com/,1981
SIR,LSGS,Sion Airport,Sion,Valais,"Sion, Switzerland",UTC+01:00,2,1,International,Canton of Valais,Sion Airport SA,https://www.sionairport.ch/,1935
SJJ,LQSA,Sarajevo International Airport,Sarajevo,Sarajevo Canton,"Ilidža, Sarajevo, Bosnia and Herzegovina",UTC+01:00,1,1,International,Bosnia and Herzegovina Directorate of Civil Aviation,Bosnia and Herzegovina Directorate of Civil Aviation,https://www.sarajevo-airport.ba/,1969
SJO,MRPV,Juan Santamaría International Airport,San José,Alajuela,"Alajuela, San José, Costa Rica",UTC-06:00,1,2,International,General Directorate of Civil Aviation,Aeris Holding Costa Rica,https://www.fly2sanjose.com/,1958
SKB,TKPK,Robert L. Bradshaw International Airport,Basseterre,St. Kitts,"Basseterre, St. Kitts and Nevis",UTC-04:00,1,1,International,St. Christopher Air and Sea Ports Authority,St. Christopher Air and Sea Ports Authority,https://www.skbairport.com/,1940
SKG,LGTS,Thessaloniki Airport,Thessaloniki,Central Macedonia,"Mikra, Thessaloniki, Greece",UTC+02:00,2,1,International,Fraport Greece,Fraport Greece,https://www.skg-airport.gr/,1940
SKP,LWSK,Skopje International Airport,Skopje,Skopje,"Petrovec, Skopje, North Macedonia",UTC+01:00,1,1,International,TAV Airports,TAV Airports,https://www.skp.airports.mk/,1928
SLC,KSLC,Salt Lake City International Airport,Salt Lake City,Utah,"Salt Lake City, Utah, USA",UTC-07:00,4,2,International,Salt Lake City Department of Airports,Salt Lake City Department of Airports,https://www.slcairport.com/,1911
SLM,LESA,Salamanca Airport,Salamanca,Castile and León,"Matacán, Salamanca, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,1938
SMI,LGSM,Samos International Airport,Samos,North Aegean,"Pythagoreio, Samos, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.smi-airport.gr/,1963
SNN,EINN,Shannon Airport,Shannon,County Clare,"Shannon, County Clare, Ireland",UTC+00:00,1,1,International,Shannon Airport Authority,Shannon Airport Authority,https://www.shannonairport.ie/,1942
SOB,LHSA,Sármellék International Airport,Sármellék,Zala County,"Sármellék, Hungary",UTC+01:00,1,1,International,Hévíz-Balaton Airport Ltd.,Hévíz-Balaton Airport Ltd.,https://www.hevizairport.com/,1950
SOF,LBSF,Sofia Airport,Sofia,Sofia City,"Sofia, Bulgaria",UTC+02:00,2,2,International,Sofia Airport EAD,Sofia Airport EAD,https://www.sofia-airport.bg/,1938
SOU,EGHI,Southampton Airport,Southampton,England,"Eastleigh, Hampshire, England",UTC+00:00,1,1,International,AGS Airports,AGS Airports,https://www.southamptonairport.com/,1910
SPC,GCLA,La Palma Airport,Santa Cruz de La Palma,Canary Islands,"Breña Baja, La Palma, Spain",UTC+00:00,1,1,International,AENA,AENA,https://www.aena.es/,1970
SPU,LDSP,Split Airport,Split,Split-Dalmatia,"Kaštel Štafilić, Split, Croatia",UTC+01:00,1,1,International,Split Airport Ltd.,Split Airport Ltd.,https://www.split-airport.hr/,1966
SPX,HESX,Sphinx International Airport,Giza,Giza Governorate,"Giza, Egypt",UTC+02:00,1,1,International,Egyptian Holding Company for Airports,Egyptian Holding Company for Airports,https://www.sphinx-airport.com/,2019
SQQ,LYKS,Šiauliai International Airport,Šiauliai,Šiauliai County,"Šiauliai, Lithuania",UTC+02:00,1,1,International,Šiauliai Airport Authority,Šiauliai Airport Authority,https://www.siauliai-airport.com/,1931
SSH,HEGN,Sharm El Sheikh International Airport,Sharm El Sheikh,South Sinai,"Sharm El Sheikh, Egypt",UTC+02:00,2,2,International,Egyptian Holding Company for Airports,Egyptian Holding Company for Airports,https://www.sharm-el-sheikh-airport.com/,1968
STN,EGSS,London Stansted Airport,London,England,"Stansted Mountfitchet, Essex, England",UTC+00:00,1,3,International,Manchester Airports Group,Manchester Airports Group,https://www.stanstedairport.com/,1943
STR,EDDS,Stuttgart Airport,Stuttgart,Baden-Württemberg,"Leinfelden-Echterdingen, Stuttgart, Germany",UTC+01:00,1,4,International,Flughafen Stuttgart GmbH,Flughafen Stuttgart GmbH,https://www.stuttgart-airport.com/,1939
SUF,LICA,Lamezia Terme Airport,Lamezia Terme,Calabria,"Lamezia Terme, Italy",UTC+01:00,1,1,International,SACAL S.p.A.,SACAL S.p.A.,https://www.lameziaairport.it/,1976
SUJ,LRSM,Satu Mare International Airport,Satu Mare,Satu Mare County,"Satu Mare, Romania",UTC+02:00,1,1,International,Satu Mare County Council,Satu Mare International Airport,https://www.aeroportsatumare.ro/,1936
SVD,TVSV,Argyle International Airport,Kingstown,St. Vincent,"Argyle, St. Vincent and the Grenadines",UTC-04:00,1,1,International,St. Vincent and the Grenadines Government,St. Vincent and the Grenadines Government,https://www.svg-airport.com/,2017
SVG,ENZV,Stavanger Airport, Sola,Stavanger,"Sola, Stavanger, Norway",UTC+01:00,2,1,International,Avinor,Avinor,https://www.avinor.no/,1937
SVO,UUEE,Sheremetyevo International Airport,Moscow,Moscow Oblast,"Khimki, Moscow, Russia",UTC+03:00,4,4,International,Sheremetyevo International Airport JSC,Sheremetyevo International Airport JSC,https://www.svo.aero/,1959
SVQ,LEZL,Seville Airport,Seville,Andalusia,"Seville, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1919
SWF,KSWF,Stewart International Airport,Newburgh,New York,"New Windsor, New York, USA",UTC-05:00,2,1,International,Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,https://www.swfstewartairport.com/,1939
SXB,LFST,Strasbourg Airport,Strasbourg,Grand Est,"Entzheim, Strasbourg, France",UTC+01:00,1,1,International,CCI de Strasbourg,CCI de Strasbourg,https://www.strasbourg.aeroport.fr/,1923
SXM,TNCM,Princess Juliana International Airport,Philipsburg,Sint Maarten,"Philipsburg, Sint Maarten",UTC-04:00,1,1,International,Princess Juliana International Airport Operating Company,Princess Juliana International Airport Operating Company,https://www.sxmairport.com/,1943
SYD,YSSY,Sydney Kingsford Smith Airport,Sydney,New South Wales,"Mascot, Sydney, Australia",UTC+10:00,3,3,International,Sydney Airport Corporation,Sydney Airport Corporation,https://www.sydneyairport.com.au/,1920
SYX,ZJSY,Sanya Phoenix International Airport,Sanya,Hainan,"Tianya, Sanya, China",UTC+08:00,2,2,International,Sanya Phoenix International Airport Co.,Sanya Phoenix International Airport Co.,https://www.sanyaairport.com/,1994
SYY,EGPO,Stornoway Airport,Stornoway,Outer Hebrides,"Stornoway, Isle of Lewis, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1937
